Id;X;Y;Z;Teneur (%)
0;426218.951;5839036.034;8764.087675;7.18407544
1;426258.951;5839036.034;8764.087675;7.18439697
2;426298.951;5839036.034;8764.087675;7.18475211
3;426338.951;5839036.034;8764.087675;7.18514333
4;426378.951;5839036.034;8764.087675;7.18557184
5;426418.951;5839036.034;8764.087675;7.18603756
6;426458.951;5839036.034;8764.087675;7.18653939
7;426498.951;5839036.034;8764.087675;7.18707821
8;426538.951;5839036.034;8764.087675;7.18766463
9;426578.951;5839036.034;8764.087675;7.18833325
10;426618.951;5839036.034;8764.087675;7.18913856
11;426658.951;5839036.034;8764.087675;7.19011649
12;426698.951;5839036.034;8764.087675;7.19125867
13;426738.951;5839036.034;8764.087675;7.19255359
14;426778.951;5839036.034;8764.087675;7.19403702
15;426818.951;5839036.034;8764.087675;7.19579423
16;426858.951;5839036.034;8764.087675;7.19791023
17;426898.951;5839036.034;8764.087675;7.20024588
18;426938.951;5839036.034;8764.087675;7.2017146
19;426978.951;5839036.034;8764.087675;7.20074413
20;427018.951;5839036.034;8764.087675;7.19881367
21;427058.951;5839036.034;8764.087675;7.19721163
22;427098.951;5839036.034;8764.087675;7.19560512
23;427138.951;5839036.034;8764.087675;7.19396238
24;427178.951;5839036.034;8764.087675;7.19236322
25;427218.951;5839036.034;8764.087675;7.19087567
26;427258.951;5839036.034;8764.087675;7.18954547
27;427298.951;5839036.034;8764.087675;7.18838657
28;427338.951;5839036.034;8764.087675;7.18738726
29;427378.951;5839036.034;8764.087675;7.18652695
31;426218.951;5839076.034;8764.087675;7.18428532
32;426258.951;5839076.034;8764.087675;7.1846426
33;426298.951;5839076.034;8764.087675;7.18504036
34;426338.951;5839076.034;8764.087675;7.18548193
35;426378.951;5839076.034;8764.087675;7.18596812
36;426418.951;5839076.034;8764.087675;7.18649556
37;426458.951;5839076.034;8764.087675;7.18705382
38;426498.951;5839076.034;8764.087675;7.1876245
39;426538.951;5839076.034;8764.087675;7.18820218
40;426578.951;5839076.034;8764.087675;7.18885666
41;426618.951;5839076.034;8764.087675;7.18978565
42;426658.951;5839076.034;8764.087675;7.19113714
43;426698.951;5839076.034;8764.087675;7.19280997
44;426738.951;5839076.034;8764.087675;7.19468972
45;426778.951;5839076.034;8764.087675;7.19687938
46;426818.951;5839076.034;8764.087675;7.19970092
47;426858.951;5839076.034;8764.087675;7.20370393
48;426898.951;5839076.034;8764.087675;7.20962584
49;426938.951;5839076.034;8764.087675;7.21446847
50;426978.951;5839076.034;8764.087675;7.20362083
51;427018.951;5839076.034;8764.087675;7.19993367
52;427058.951;5839076.034;8764.087675;7.2003117
53;427098.951;5839076.034;8764.087675;7.19834647
